iter	MultiClass
0	0.8269242502
1	0.6660592321
2	0.5561911876
3	0.4777027153
4	0.4184460099
5	0.3730571589
6	0.3378578067
7	0.3102164602
8	0.2885526079
9	0.2712222807
10	0.2569256363
11	0.2458950069
12	0.2365694654
13	0.2292675219
14	0.2230288369
15	0.2180373388
16	0.2136252757
17	0.2102278682
18	0.2076282633
19	0.2050819914
20	0.2031531413
21	0.2014147168
22	0.1999389979
23	0.198899031
24	0.1980298387
25	0.1970992085
26	0.1964112208
27	0.1958196684
28	0.1953250958
29	0.1948792325
30	0.1946138431
31	0.194303571
32	0.1941761245
33	0.1939333093
34	0.1936383036
35	0.1935600314
36	0.1934545878
37	0.1934052276
38	0.1932858329
39	0.1931197087
40	0.1930553743
41	0.193007635
42	0.1929505684
43	0.1928511836
44	0.1927050161
45	0.1926117033
46	0.1924985002
47	0.1923991419
48	0.1923130039
49	0.1922530143
50	0.1921542672
51	0.1921352937
52	0.1921130251
53	0.1920700159
54	0.1920293984
55	0.1919849409
56	0.1919387695
57	0.1918800819
58	0.1918269881
59	0.1918011188
60	0.1917882174
61	0.1917537383
62	0.1917021724
63	0.1916660192
64	0.1916448667
65	0.1915856742
66	0.1915379216
67	0.1915023132
68	0.1914776131
69	0.1914516375
70	0.191417278
71	0.1913868646
72	0.1913568632
73	0.1913316715
74	0.1913015372
75	0.1912789098
76	0.191268307
77	0.1912247265
78	0.1911880152
79	0.191146534
80	0.1911227109
81	0.1910838205
82	0.1910631331
83	0.1910314973
84	0.1910192735
85	0.190985977
86	0.1909720524
87	0.1909277943
88	0.1909104019
89	0.1908805732
90	0.190857069
91	0.1908224304
92	0.1908045066
93	0.1907800058
94	0.1907548939
95	0.1907245337
96	0.190698877
97	0.1906655007
98	0.1906551636
99	0.1906350076
100	0.1906070523
101	0.1905783529
102	0.1905524703
103	0.1905263353
104	0.1904985527
105	0.1904665449
106	0.1904451001
107	0.1904296078
108	0.1904223399
109	0.1904025427
110	0.1903888175
111	0.1903738965
112	0.1903531691
113	0.1903361754
114	0.1903211614
115	0.1902966872
116	0.1902710703
117	0.1902545948
118	0.1902393283
119	0.1902201821
120	0.1901966778
121	0.1901777974
122	0.1901610295
123	0.1901349211
124	0.1901268294
125	0.1901133035
126	0.1900977846
127	0.1900691118
128	0.1900412761
129	0.1900234585
130	0.1900018144
131	0.1899927263
132	0.189970936
133	0.1899582206
134	0.1899279401
135	0.1898922121
136	0.1898745141
137	0.1898573477
138	0.1898284357
139	0.1898070573
140	0.1897931062
141	0.1897675957
142	0.1897606201
143	0.189752781
144	0.1897418593
145	0.1897243208
146	0.1897138508
147	0.1896927249
148	0.1896582192
149	0.1896434443
150	0.1896264639
151	0.1896152366
152	0.1896048065
153	0.1895872547
154	0.1895579176
155	0.1895410168
156	0.1895281553
157	0.1895172335
158	0.1895064181
159	0.1894923475
160	0.1894532047
161	0.1894394795
162	0.1894267907
163	0.1894058109
164	0.1893946102
165	0.1893726738
166	0.1893530094
167	0.1893415296
168	0.1893194205
169	0.1893035694
170	0.1892604273
171	0.1892560693
172	0.1892281937
173	0.1892148272
174	0.1891882006
175	0.1891512369
176	0.1891318382
177	0.1891258193
178	0.1891125193
179	0.1890989801
180	0.1890899982
181	0.1890832486
182	0.1890613653
183	0.1890472814
184	0.1890282415
185	0.1890158449
186	0.1889989973
187	0.1889860693
188	0.1889709224
189	0.1889415587
190	0.1889251895
191	0.1889092985
192	0.1888940719
193	0.1888751649
194	0.1888646949
195	0.1888539991
196	0.188840327
197	0.1888153612
198	0.1888062332
199	0.1887857318
200	0.1887629716
201	0.1887459645
202	0.1887267918
203	0.1887031414
204	0.1886901071
205	0.1886662707
206	0.1886450251
207	0.1886241915
208	0.1886115293
209	0.1886046467
210	0.188578339
211	0.1885702872
212	0.1885533732
213	0.1885409368
214	0.1885041192
215	0.1884963066
216	0.1884735464
217	0.188457775
218	0.1884481687
219	0.1884344037
220	0.1884247841
221	0.1884072987
222	0.1883982371
223	0.188387528
224	0.1883607154
225	0.1883312055
226	0.1883147299
227	0.1882937635
228	0.1882864292
229	0.1882682795
230	0.1882620347
231	0.1882478843
232	0.1882382647
233	0.1882269311
234	0.1882137374
235	0.1882098975
236	0.1882006367
237	0.1881876954
238	0.1881773849
239	0.1881666492
240	0.1881556743
241	0.1881500407
242	0.1881370463
243	0.1881266959
244	0.1881123197
245	0.1881007336
246	0.1880859322
247	0.1880756217
248	0.1880668524
249	0.18804663
250	0.1880353097
251	0.1880236572
252	0.1880093208
253	0.1879978676
254	0.1879888592
255	0.1879557354
256	0.1879398843
257	0.1879254814
258	0.1879128856
259	0.1878981506
260	0.1878911086
261	0.1878810771
262	0.1878692254
263	0.1878562974
264	0.1878446449
265	0.1878269204
266	0.1878049175
267	0.1877904881
268	0.1877830077
269	0.1877587992
270	0.187739281
271	0.1877215831
272	0.1877076851
273	0.1876969096
274	0.1876835032
275	0.1876782151
276	0.1876519339
277	0.1876347143
278	0.187621959
279	0.187595452
280	0.1875751897
281	0.1875554854
282	0.1875397805
283	0.1875331903
284	0.1875273574
285	0.1875007972
286	0.1874826608
287	0.1874636608
288	0.1874538684
289	0.1874388013
290	0.1874330082
291	0.1874273348
292	0.1874188578
293	0.1874108592
294	0.1873850032
295	0.1873685675
296	0.1873593731
297	0.1873529954
298	0.1873448507
299	0.1873282821
300	0.1873160982
301	0.1873112352
302	0.187301031
303	0.1872912652
304	0.1872733016
305	0.1872616624
306	0.1872505945
307	0.1872439511
308	0.1872398057
309	0.1872320063
310	0.1872209252
311	0.1872129266
312	0.1871939664
313	0.1871858083
314	0.1871799755
315	0.1871687349
316	0.1871561922
317	0.1871527775
318	0.1871453103
319	0.1871402348
320	0.1871325949
321	0.1871234403
322	0.1871178201
323	0.1870957242
324	0.187089506
325	0.1870705724
326	0.1870624276
327	0.187054522
328	0.1870467094
329	0.1870365849
330	0.1870272177
331	0.1870119646
332	0.1869995149
333	0.1869909582
334	0.1869761966
335	0.1869646106
336	0.1869561868
337	0.1869493574
338	0.1869441357
339	0.1869404952
340	0.1869106
341	0.1869023755
342	0.1868922643
343	0.1868802929
344	0.1868741146
345	0.1868671125
346	0.1868636048
347	0.1868559782
348	0.1868439138
349	0.1868316767
350	0.1868233592
351	0.1868111354
352	0.1868017815
353	0.1867944074
354	0.1867806955
355	0.1867682059
356	0.1867638213
357	0.1867592241
358	0.1867496311
359	0.1867415129
360	0.1867250107
361	0.1867004701
362	0.1866900001
363	0.1866837022
364	0.1866688211
365	0.186660384
366	0.1866509504
367	0.1866390455
368	0.1866193811
369	0.1865999293
370	0.1865920104
371	0.1865863768
372	0.1865816866
373	0.1865671642
374	0.1865557907
375	0.1865491208
376	0.1865402851
377	0.1865269983
378	0.1865202487
379	0.1865147214
380	0.1865038794
381	0.186496771
382	0.1864880948
383	0.1864792856
384	0.1864721639
385	0.1864595681
386	0.1864450324
387	0.1864336457
388	0.1864268561
389	0.1864072981
390	0.1863890686
391	0.1863710784
392	0.1863592532
393	0.1863520518
394	0.1863467769
395	0.186342472
396	0.1863355629
397	0.1863267272
398	0.1863197118
399	0.1863084181
400	0.1862995293
401	0.1862889796
402	0.1862753607
403	0.1862639075
404	0.1862541949
405	0.1862460634
406	0.1862350354
407	0.1862139361
408	0.1862035192
409	0.1861948961
410	0.1861680171
411	0.1861618653
412	0.1861582247
413	0.1861457883
414	0.18613961
415	0.1861311463
416	0.1861260974
417	0.1861222575
418	0.186110047
419	0.1860943155
420	0.1860853469
421	0.186077614
422	0.1860664
423	0.1860603944
424	0.1860515587
425	0.1860401587
426	0.1860248922
427	0.1860195377
428	0.1860153125
429	0.1860082838
430	0.1859986642
431	0.1859942796
432	0.1859845935
433	0.1859736054
434	0.1859524396
435	0.1859484403
436	0.185938834
437	0.1859242584
438	0.1859132039
439	0.1859077164
440	0.1859024947
441	0.1858900982
442	0.1858812227
443	0.1858731045
444	0.1858601233
445	0.1858562037
446	0.1858307463
447	0.1858250862
448	0.1858185624
449	0.1858143106
450	0.1857875378
451	0.1857813063
452	0.1857727762
453	0.1857316405
454	0.185725316
455	0.1857172642
456	0.1857082159
457	0.1857009215
458	0.1856956865
459	0.1856925775
460	0.1856864921
461	0.1856816292
462	0.1856756634
463	0.1856628816
464	0.1856486913
465	0.1856428584
466	0.1856345808
467	0.1856305416
468	0.1856173346
469	0.1856110633
470	0.1856038087
471	0.1855954381
472	0.1855906814
473	0.1855855793
474	0.1855792017
475	0.1855661806
476	0.1855539303
477	0.1855475261
478	0.1855395009
479	0.1855346512
480	0.1855312365
481	0.1855241015
482	0.1855192784
483	0.1855158372
484	0.1855076791
485	0.1854950567
486	0.1854920539
487	0.1854893168
488	0.1854817965
489	0.1854785147
490	0.1854669419
491	0.1854590629
492	0.1854570035
493	0.1854450188
494	0.1854311209
495	0.1854203453
496	0.1854136887
497	0.1854044544
498	0.1853991397
499	0.1853923103
500	0.1853853215
501	0.1853649927
502	0.185355971
503	0.1853515731
504	0.185336785
505	0.1853270458
506	0.1853126164
507	0.1852981471
508	0.1852784562
509	0.1852730618
510	0.1852689163
511	0.1852634554
512	0.1852607051
513	0.1852570645
514	0.1852441897
515	0.1852254686
516	0.1852004895
517	0.1851948693
518	0.1851898867
519	0.1851831105
520	0.1851768126
521	0.1851629545
522	0.1851562978
523	0.1851395831
524	0.1851324481
525	0.1851270138
526	0.1851162914
527	0.185086755
528	0.1850828886
529	0.1850719403
530	0.1850492731
531	0.1850438787
532	0.1850393612
533	0.1850312961
534	0.1850188597
535	0.1850104492
536	0.1849941065
537	0.1849913695
538	0.1849829058
539	0.1849778037
540	0.1849632281
541	0.1849466463
542	0.1849353924
543	0.1849253875
544	0.1849127916
545	0.184899
546	0.1848961035
547	0.1848916259
548	0.1848827902
549	0.1848771832
550	0.1848706461
551	0.1848642685
552	0.1848604552
553	0.1848513139
554	0.1848336558
555	0.1848298558
556	0.184815639
557	0.1848103774
558	0.1848049963
559	0.1847994823
560	0.1847845878
561	0.1847762039
562	0.1847711948
563	0.1847556095
564	0.1847485276
565	0.1847357192
566	0.1847248108
567	0.184712959
568	0.1847068338
569	0.1846983967
570	0.1846919394
571	0.1846853491
572	0.1846769386
573	0.1846576197
574	0.18464804
575	0.184639191
576	0.1846329064
577	0.184620656
578	0.1846172811
579	0.1846082993
580	0.1845992643
581	0.1845865622
582	0.184582895
583	0.184577979
584	0.1845693957
585	0.1845500502
586	0.184545918
587	0.1845372285
588	0.1845254299
589	0.1845153054
590	0.1844873633
591	0.1844786871
592	0.1844718179
593	0.1844671675
594	0.184460471
595	0.184450094
596	0.1844463472
597	0.1844399297
598	0.1844303101
599	0.1844230954
600	0.1844176079
601	0.1844110044
602	0.1844077757
603	0.1843993387
604	0.1843807904
605	0.1843769904
606	0.1843687659
607	0.1843510546
608	0.1843444644
609	0.1843301546
610	0.1843210399
611	0.1843169608
612	0.1843100916
613	0.1843013755
614	0.1842936559
615	0.1842876636
616	0.1842857768
617	0.1842723971
618	0.1842637341
619	0.184256639
620	0.1842486271
621	0.1842396851
622	0.1842324173
623	0.1842256278
624	0.1842209242
625	0.184209099
626	0.1841948025
627	0.1841835619
628	0.1841751115
629	0.1841726136
630	0.1841605493
631	0.1841537996
632	0.1841460269
633	0.1841415492
634	0.1841374835
635	0.184131345
636	0.1841161981
637	0.184103496
638	0.1840932519
639	0.1840891463
640	0.1840831673
641	0.1840657351
642	0.1840545078
643	0.1840534714
644	0.1840413273
645	0.1840345909
646	0.1840205734
647	0.1840118839
648	0.1840012943
649	0.1839947573
650	0.1839861475
651	0.1839756908
652	0.1839603047
653	0.1839535418
654	0.1839462739
655	0.1839408131
656	0.1839386075
657	0.1839335585
658	0.1839195011
659	0.1839005011
660	0.1838954521
661	0.1838864437
662	0.1838767444
663	0.1838623283
664	0.1838588471
665	0.1838557779
666	0.1838471415
667	0.1838360338
668	0.1838288058
669	0.1838100449
670	0.1837933169
671	0.1837843218
672	0.1837793924
673	0.1837744497
674	0.1837678861
675	0.183762505
676	0.1837473448
677	0.1837322112
678	0.1837203594
679	0.183717237
680	0.1837119356
681	0.1837065146
682	0.1836954999
683	0.1836914474
684	0.1836855083
685	0.1836808712
686	0.1836748922
687	0.1836654984
688	0.1836612865
689	0.183655839
690	0.1836441998
691	0.1836346997
692	0.18362132
693	0.1836199913
694	0.1836153011
695	0.1836082458
696	0.1836036752
697	0.1835857514
698	0.1835803702
699	0.1835771681
700	0.1835717737
701	0.1835639877
702	0.1835540093
703	0.1835478709
704	0.1835420114
705	0.1835358331
706	0.1835298408
707	0.1835233834
708	0.1835157967
709	0.1835115848
710	0.1835084092
711	0.1834942456
712	0.1834862337
713	0.183482035
714	0.1834756707
715	0.1834674329
716	0.1834620518
717	0.1834525783
718	0.183450293
719	0.1834476755
720	0.1834390524
721	0.1834302433
722	0.1834162657
723	0.1834052775
724	0.1833966943
725	0.1833875397
726	0.183382597
727	0.1833779733
728	0.1833722998
729	0.1833665201
730	0.1833578438
731	0.1833546949
732	0.1833459788
733	0.1833342997
734	0.1833288654
735	0.1833242549
736	0.1833044178
737	0.183300857
738	0.1832971633
739	0.1832899353
740	0.1832828534
741	0.1832755856
742	0.1832616478
743	0.1832602527
744	0.1832452785
745	0.1832374659
746	0.1832331344
747	0.1832319652
748	0.1832236211
749	0.183216154
750	0.1832109456
751	0.1832054714
752	0.183191919
753	0.1831833623
754	0.183166342
755	0.1831490426
756	0.183141509
757	0.1831360349
758	0.1831324608
759	0.1831191475
760	0.1831130223
761	0.1831110293
762	0.1831059537
763	0.1830975432
764	0.1830892124
765	0.1830853327
766	0.1830800977
767	0.1830657879
768	0.1830571116
769	0.1830527137
770	0.1830451403
771	0.1830367962
772	0.1830317207
773	0.1830298074
774	0.1830241074
775	0.1830163745
776	0.1830121759
777	0.183006436
778	0.1830025031
779	0.1829819485
780	0.1829776702
781	0.1829737905
782	0.1829651541
783	0.1829461939
784	0.1829305687
785	0.182923912
786	0.1829175344
787	0.182913163
788	0.1829103994
789	0.1829059616
790	0.1829031448
791	0.182895598
792	0.1828887553
793	0.1828845168
794	0.1828821784
795	0.1828775546
796	0.1828691706
797	0.182861172
798	0.1828536783
799	0.182840644
800	0.1828360733
801	0.1828291111
802	0.1828159705
803	0.1828066166
804	0.1828018467
805	0.1827946851
806	0.1827855571
807	0.1827792194
808	0.1827759242
809	0.1827637669
810	0.1827608837
811	0.1827562864
812	0.1827410333
813	0.1827365689
814	0.1827126262
815	0.1827087863
816	0.1827030863
817	0.1826984625
818	0.1826911947
819	0.1826869695
820	0.1826822793
821	0.1826750513
822	0.1826633722
823	0.1826549484
824	0.1826474547
825	0.1826321749
826	0.182613919
827	0.1826079532
828	0.1825967126
829	0.1825920357
830	0.1825896972
831	0.1825847944
832	0.1825702189
833	0.1825669902
834	0.1825599216
835	0.1825531454
836	0.1825481629
837	0.1825470202
838	0.1825413202
839	0.1825321922
840	0.1825221341
841	0.1825192509
842	0.1825146404
843	0.1825058711
844	0.1824983774
845	0.1824926641
846	0.1824789788
847	0.1824690403
848	0.1824673529
849	0.1824587563
850	0.1824403808
851	0.1824348801
852	0.1824229087
853	0.1824108576
854	0.1824078415
855	0.1824028324
856	0.1823953387
857	0.1823861841
858	0.1823776806
859	0.1823744387
860	0.1823653505
861	0.1823621086
862	0.1823548806
863	0.1823487022
864	0.1823437861
865	0.1823382854
866	0.1823259686
867	0.182319312
868	0.1823145287
869	0.1823121238
870	0.1823094532
871	0.182291835
872	0.1822892573
873	0.1822856433
874	0.1822810461
875	0.1822709615
876	0.1822658727
877	0.1822617139
878	0.1822584587
879	0.1822455838
880	0.1822432055
881	0.1822371866
882	0.1822267698
883	0.1822240061
884	0.1822185586
885	0.1822142404
886	0.182209125
887	0.1821995187
888	0.1821930879
889	0.1821840927
890	0.1821676172
891	0.1821647074
892	0.1821598577
893	0.1821494675
894	0.1821440199
895	0.1821412297
896	0.1821364465
897	0.1821312646
898	0.1821256444
899	0.1821219108
900	0.182115945
901	0.182108624
902	0.1821053156
903	0.1820965464
904	0.1820927995
905	0.1820841897
906	0.1820772142
907	0.1820762177
908	0.1820725505
909	0.182069561
910	0.1820637547
911	0.1820626386
912	0.1820609512
913	0.1820560484
914	0.1820522484
915	0.1820488071
916	0.1820460435
917	0.1820425889
918	0.1820359322
919	0.1820334742
920	0.1820221273
921	0.1820168791
922	0.1820140357
923	0.1820095979
924	0.1820079371
925	0.1820052133
926	0.1819925776
927	0.1819888307
928	0.1819879405
929	0.1819811377
930	0.1819783874
931	0.1819700831
932	0.1819588691
933	0.1819548964
934	0.1819510299
935	0.1819428586
936	0.1819386467
937	0.1819336376
938	0.1819284425
939	0.1819241641
940	0.1819089242
941	0.1818955046
942	0.1818918375
943	0.1818835731
944	0.1818780591
945	0.1818682668
946	0.1818627395
947	0.1818532528
948	0.1818432744
949	0.1818389164
950	0.1818308115
951	0.1818221219
952	0.181813924
953	0.1818016471
954	0.181797103
955	0.181790154
956	0.1817855701
957	0.181782647
958	0.1817711141
959	0.1817680316
960	0.1817576945
961	0.1817545057
962	0.1817507854
963	0.1817476232
964	0.1817326756
965	0.1817296462
966	0.1817236804
967	0.1817198007
968	0.1817176084
969	0.1817140476
970	0.1817066867
971	0.1817033384
972	0.1816997112
973	0.1816937188
974	0.1816887363
975	0.1816815615
976	0.1816771901
977	0.1816747188
978	0.1816685803
979	0.1816648467
980	0.1816615516
981	0.1816544432
982	0.1816476803
