iter	Passed	Remaining
0	6	6037
1	11	5839
2	17	5764
3	23	5738
4	28	5648
5	34	5635
6	39	5621
7	45	5606
8	51	5659
9	56	5636
10	62	5587
11	67	5564
12	73	5553
13	78	5535
14	84	5541
15	89	5520
16	95	5507
17	100	5508
18	107	5527
19	112	5504
20	117	5500
21	123	5500
22	129	5501
23	135	5493
24	140	5492
25	146	5484
26	152	5488
27	157	5482
28	163	5474
29	169	5474
30	174	5460
31	180	5466
32	186	5454
33	191	5435
34	196	5430
35	202	5413
36	207	5397
37	212	5382
38	217	5370
39	223	5360
40	228	5338
41	233	5327
42	238	5314
43	244	5305
44	249	5296
45	255	5290
46	260	5290
47	266	5284
48	272	5286
49	277	5281
50	283	5278
51	289	5270
52	294	5259
53	299	5250
54	305	5241
55	310	5237
56	315	5226
57	321	5217
58	326	5211
59	332	5205
60	337	5192
61	342	5182
62	348	5180
63	353	5172
64	359	5167
65	364	5160
66	369	5151
67	375	5151
68	381	5143
69	386	5135
70	392	5133
71	397	5128
72	403	5120
73	408	5114
74	414	5108
75	419	5101
76	425	5094
77	430	5091
78	436	5085
79	441	5081
80	447	5076
81	452	5067
82	458	5060
83	463	5053
84	468	5048
85	474	5040
86	479	5034
87	485	5032
88	491	5026
89	496	5019
90	501	5011
91	507	5009
92	514	5022
93	520	5013
94	525	5005
95	531	5000
96	536	4996
97	542	4988
98	547	4984
99	553	4977
100	558	4971
101	563	4964
102	569	4957
103	575	4954
104	580	4947
105	586	4946
106	595	4966
107	600	4956
108	606	4954
109	614	4973
110	620	4967
111	625	4959
112	631	4953
113	636	4947
114	642	4941
115	647	4937
116	653	4930
117	658	4924
118	664	4920
119	673	4937
120	678	4929
121	684	4923
122	689	4918
123	695	4915
124	701	4910
125	706	4901
126	711	4893
127	717	4886
128	722	4880
129	727	4870
130	733	4863
131	738	4854
132	743	4846
133	748	4836
134	753	4829
135	758	4820
136	764	4813
137	769	4806
138	774	4798
139	780	4791
140	785	4783
141	790	4779
142	796	4774
143	802	4769
144	807	4763
145	813	4758
146	818	4751
147	824	4743
148	829	4736
149	834	4730
150	840	4723
151	845	4716
152	850	4708
153	855	4702
154	861	4699
155	867	4691
156	872	4684
157	877	4678
158	883	4672
159	888	4665
160	894	4662
161	900	4657
162	905	4651
163	911	4645
164	916	4639
165	922	4634
